"","fheight","sheight","predict"
"1",65.04851,59.77827,67.328038991
"2",63.25094,63.21404,66.403908254
"3",64.95532,63.34242,67.280130012
"4",65.7525,62.79238,67.68996025
"5",61.13723,64.28113,65.317249943
"6",63.02254,64.24221,66.286487814
"7",65.37053,64.08231,67.493589473
"8",64.72398,63.99574,67.161198118
"9",66.06509,64.61338,67.850662769
"10",66.96738,63.97944,68.314530058
"11",59.008,65.24451,64.2226128
"12",62.93203,65.35102,66.239956623
"13",63.67063,65.67992,66.619670883
"14",64.07386,65.43664,66.826971426
"15",64.68851,65.29391,67.142962991
"16",65.15466,64.79017,67.382610706
"17",66.37353,65.01881,68.009231773
"18",65.57704,65.5464,67.599756264
"19",67.36765,65.08145,68.520308865
"20",66.75929,65.49008,68.207550989
"21",67.79764,65.1352,68.741366724
"22",69.5348,65.51262,69.63444068
"23",62.54014,66.58436,66.038485974
"24",63.81016,66.37842,66.691403256
"25",64.4565,66.14782,67.02368665
"26",64.9665,65.97259,67.28587765
"27",64.70662,65.95887,67.152273342
"28",65.73829,66.45202,67.682654889
"29",65.50141,65.74797,67.560874881
"30",65.55416,65.97164,67.587993656
"31",66.90294,65.90548,68.281401454
"32",66.57388,65.90773,68.112231708
"33",66.53198,66.47103,68.090690918
"34",67.90613,65.75023,68.797141433
"35",68.29198,66.34666,68.995506918
"36",67.74123,66.08577,68.712366343
"37",68.46917,66.28037,69.086600297
"38",69.38327,66.34354,69.556539107
"39",71.81791,66.41711,70.808187531
"40",62.41615,67.22558,65.974742715
"41",64.49083,67.46394,67.041335703
"42",64.4876,66.99362,67.03967516
"43",63.92303,66.76647,66.749429723
"44",65.44592,67.0342,67.532347472
"45",65.02977,66.84316,67.318404757
"46",65.67038,69.2989,67.647742358
"47",68.66078,69.09114,69.185106998
"48",66.54597,61.66358,68.097883177
"49",64.85954,65.7288,67.230889514
"50",69.60692,68.98012,69.671517572
"51",64.8135,67.37397,67.20722035
"52",65.32703,67.17459,67.471226123
"53",65.83169,67.06712,67.730671829
"54",65.83427,67.29446,67.731998207
